canonical_skill,blog_count_technical,job_count,sd_ratio,sd_log10
python,25070,50103,0.5004,-0.3007
machine learning,27213,19095,1.4251,0.1539
pytorch,2787,5817,0.4791,-0.3196
sql,11336,26293,0.4311,-0.3654
llms,18477,10444,1.7691,0.2478
tensorflow,2729,3718,0.734,-0.1343
deep learning,6509,3822,1.703,0.2312
evaluation,17768,12814,1.3866,0.142
data pipelines,4598,10572,0.4349,-0.3616
aws,21748,32191,0.6756,-0.1703
fine-tuning,6515,3056,2.1319,0.3288
a/b testing,2530,2832,0.8934,-0.049
scikit-learn,1078,1569,0.6871,-0.163
model deployment,1197,1007,1.1887,0.0751
reinforcement learning,3773,1739,2.1696,0.3364
ci/cd,13709,24852,0.5516,-0.2584
mlops,2396,3000,0.7987,-0.0976
generative ai,15617,6586,2.3712,0.375
kubernetes,17105,20418,0.8377,-0.0769
data visualization,1635,3523,0.4641,-0.3334
rag,7149,4454,1.6051,0.2055
nlp,5222,2415,2.1623,0.3349
r,15257,9087,1.679,0.225
data analysis,5526,6956,0.7944,-0.0999
model training,4670,2890,1.6159,0.2084
computer vision,3586,4386,0.8176,-0.0875
c++,21902,26832,0.8163,-0.0882
experimentation,8090,9574,0.845,-0.0731
gcp,3956,15772,0.2508,-0.6006
jax,333,1228,0.2712,-0.5668
docker,11490,15830,0.7258,-0.1392
prompt engineering,4020,3751,1.0717,0.0301
azure,13696,17225,0.7951,-0.0996
pandas,2053,2319,0.8853,-0.0529
monitoring,37558,24638,1.5244,0.1831
observability,16388,15975,1.0259,0.0111
feature engineering,1148,1102,1.0417,0.0178
spark,4814,8256,0.5831,-0.2343
data science,9143,13180,0.6937,-0.1588
distributed systems,3637,14371,0.2531,-0.5967
java,7289,16385,0.4449,-0.3518
causal inference,323,1046,0.3088,-0.5103
distributed training,474,1044,0.454,-0.3429
statistics,7289,6175,1.1804,0.072
statistical modeling,188,921,0.2041,-0.6901
airflow,1468,3929,0.3736,-0.4276
testing,45901,37268,1.2316,0.0905
predictive modeling,587,674,0.8709,-0.06
evaluation frameworks,497,2083,0.2386,-0.6223
tableau,1066,6034,0.1767,-0.7528
statistical analysis,604,1377,0.4386,-0.3579
transformer,4887,1106,4.4186,0.6453
numpy,2439,1486,1.6413,0.2152
data modeling,964,4940,0.1951,-0.7096
langchain,2293,2242,1.0227,0.0098
typescript,8349,16108,0.5183,-0.2854
model monitoring,436,393,1.1094,0.0451
mlflow,669,2357,0.2838,-0.5469
vector databases,1445,1932,0.7479,-0.1261
deployment,40325,26922,1.4978,0.1755
forecasting,5417,3740,1.4484,0.1609
dashboards,15701,11743,1.3371,0.1261
optimization,24760,21224,1.1666,0.0669
git,11888,10277,1.1568,0.0632
databricks,2368,5254,0.4507,-0.3461
experimental design,226,678,0.3333,-0.4771
apis,28952,26429,1.0955,0.0396
dbt,1374,3546,0.3875,-0.4118
model serving,928,942,0.9851,-0.0065
snowflake,2707,5952,0.4548,-0.3422
post-training,953,648,1.4707,0.1675
looker,719,4142,0.1736,-0.7605
software engineering,6540,20547,0.3183,-0.4972
data quality,5919,6398,0.9251,-0.0338
hypothesis testing,247,457,0.5405,-0.2672
training,42316,31291,1.3523,0.1311
embeddings,5380,1433,3.7544,0.5745
classification,9301,3324,2.7981,0.4469
regression,6226,3228,1.9287,0.2853
data cleaning,739,318,2.3239,0.3662
etl,2781,5578,0.4986,-0.3023
recommendation systems,862,649,1.3282,0.1233
react,12087,15951,0.7578,-0.1205
diffusion models,578,392,1.4745,0.1686
agentic workflows,2262,2447,0.9244,-0.0341
benchmarking,4291,1840,2.3321,0.3677
rlhf,881,667,1.3208,0.1209
ai agents,17295,6486,2.6665,0.4259
langgraph,861,1082,0.7957,-0.0992
experiment design,234,396,0.5909,-0.2285
guardrails,10071,3409,2.9542,0.4704
ai,113119,78600,1.4392,0.1581
debugging,12781,10672,1.1976,0.0783
code reviews,2837,12071,0.235,-0.6289
go,61253,25218,2.4289,0.3854
multi-agent systems,1279,589,2.1715,0.3368
containerization,1435,5588,0.2568,-0.5904
foundation models,2073,1572,1.3187,0.1201
data curation,283,338,0.8373,-0.0771
cuda,1710,1139,1.5013,0.1765
vector database,1754,247,7.1012,0.8513
high-performance computing,1169,925,1.2638,0.1017
robotics,4691,4573,1.0258,0.0111
data processing,5324,6284,0.8472,-0.072
openai,18814,4237,4.4404,0.6474
orchestration,15082,13672,1.1031,0.0426
code review,5028,3009,1.671,0.223
fastapi,1316,2050,0.642,-0.1925
data mining,586,870,0.6736,-0.1716
parallel and distributed computing,30,70,0.4286,-0.368
numerical optimization,21,117,0.1795,-0.746
performance optimization,2208,5198,0.4248,-0.3718
parsing,5569,1016,5.4813,0.7389
algorithms and data structures,85,422,0.2014,-0.6959
algorithms,16370,11251,1.455,0.1629
profiling,2700,2168,1.2454,0.0953
unix/linux,133,702,0.1895,-0.7225
simulation,5813,4689,1.2397,0.0933
linear algebra,519,411,1.2628,0.1013
deepspeed,148,261,0.567,-0.2464
triton,380,534,0.7116,-0.1478
generative modeling,144,174,0.8276,-0.0822
alignment,14198,16250,0.8737,-0.0586
fsdp,68,163,0.4172,-0.3797
logging,14518,6252,2.3221,0.3659
mxnet,73,55,1.3273,0.123
agent architectures,496,387,1.2817,0.1078
transformer architectures,280,251,1.1155,0.0475
hadoop,967,1421,0.6805,-0.1672
neural deep learning,2,32,0.0625,-1.2041
rust,4723,4604,1.0258,0.0111
scipy,435,406,1.0714,0.03
prompting,6308,957,6.5914,0.819
slurm,194,417,0.4652,-0.3323
reasoning,16508,4390,3.7604,0.5752
large-scale training,208,324,0.642,-0.1925
llm apis,387,637,0.6075,-0.2164
tool use,2437,935,2.6064,0.416
imitation learning,125,186,0.672,-0.1726
context engineering,854,356,2.3989,0.38
synthetic data generation,403,281,1.4342,0.1566
probability,5071,747,6.7885,0.8318
multimodal models,635,417,1.5228,0.1826
process intelligence,60,141,0.4255,-0.3711
javascript,14669,12451,1.1781,0.0712
llamaindex,636,653,0.974,-0.0115
world models,536,278,1.9281,0.2851
genai,4492,3535,1.2707,0.1041
model development,1525,1732,0.8805,-0.0553
model validation,494,267,1.8502,0.2672
vision-language models,375,244,1.5369,0.1866
xgboost,502,360,1.3944,0.1444
terraform,4642,11670,0.3978,-0.4004
model optimization,394,372,1.0591,0.025
zenml,20,22,0.9091,-0.0414
metaflow,36,67,0.5373,-0.2698
quantization,2181,626,3.484,0.5421
semantic search,1874,657,2.8524,0.4552
ec2,2509,1707,1.4698,0.1673
latency optimization,138,96,1.4375,0.1576
pre-training,1147,328,3.497,0.5437
reproducibility,3388,900,3.7644,0.5757
training/inference pipelines,1,23,0.0435,-1.3617
model registries,255,153,1.6667,0.2218
scalability,14140,18871,0.7493,-0.1253
anomaly detection,4802,1772,2.7099,0.433
multi-modality,77,44,1.75,0.243
nccl,125,240,0.5208,-0.2833
econometrics,126,272,0.4632,-0.3342
pyspark,322,1093,0.2946,-0.5308
sft,385,329,1.1702,0.0683
cloudformation,1445,2028,0.7125,-0.1472
reward modeling,68,134,0.5075,-0.2946
dpo,311,358,0.8687,-0.0611
ocr,1751,305,5.741,0.759
agentic use cases,103,43,2.3953,0.3794
weights biases,212,56,3.7857,0.5781
langsmith,449,306,1.4673,0.1665
microservices,7308,7747,0.9433,-0.0253
observability dashboards,280,61,4.5902,0.6618
continuous loops,11,0,,
retrieval,10649,4138,2.5735,0.4105
data labeling,384,222,1.7297,0.238
distillation,1263,432,2.9236,0.4659
observational causal inference,3,22,0.1364,-0.8653
synthetic data pipelines,24,36,0.6667,-0.1761
learning rate schedulers,10,0,,
eks,1378,2141,0.6436,-0.1914
cognito,358,136,2.6324,0.4203
representation learning,355,222,1.5991,0.2039
metrics,34163,22451,1.5217,0.1823
document intelligence,232,119,1.9496,0.2899
layout detection,26,23,1.1304,0.0532
structured extraction,152,40,3.8,0.5798
chunking,1442,237,6.0844,0.7842
transformer-based ocsr,1,0,,
layout models,8,13,0.6154,-0.2109
distributed computing,699,1134,0.6164,-0.2101
model versioning,485,300,1.6167,0.2086
batch inference,261,52,5.0192,0.7006
inference,15556,5949,2.6149,0.4175
applied machine learning,139,405,0.3432,-0.4644
alerting,5823,5156,1.1294,0.0528
data ingestion,1695,2082,0.8141,-0.0893
token usage tracking,18,1,18.0,1.2553
latency monitoring,89,16,5.5625,0.7453
reasoning paths,135,8,16.875,1.2272
llm inference,998,270,3.6963,0.5678
ai engineering,1432,1313,1.0906,0.0377
infrastructure-as-code,3648,9049,0.4031,-0.3945
ml pipelines,584,955,0.6115,-0.2136
gpu orchestration,52,60,0.8667,-0.0621
open-source contributions,413,1030,0.401,-0.3969
time-series data,605,314,1.9268,0.2848
information retrieval,959,372,2.578,0.4113
networking,10111,12377,0.8169,-0.0878
rollouts,3931,1090,3.6064,0.5571
vllm,1134,642,1.7664,0.2471
pulumi,580,958,0.6054,-0.2179
grafana,2829,4870,0.5809,-0.2359
model drift detection,55,7,7.8571,0.8953
ml infrastructure,209,1300,0.1608,-0.7938
